date,employees
3/8/2018,24770
3/9/2018,21953
3/10/2018,0
3/11/2018,0
3/12/2018,26192
3/13/2018,25850
3/14/2018,26179
3/15/2018,24513
3/16/2018,22249
3/17/2018,0
3/18/2018,0
3/19/2018,25128
3/20/2018,25479
3/21/2018,21539
3/22/2018,25467
3/23/2018,23587
3/24/2018,0
3/25/2018,0
3/26/2018,24537
3/27/2018,24751
3/28/2018,23902
3/29/2018,21967
3/30/2018,18962
3/31/2018,0
4/1/2018,0
4/2/2018,21053
4/3/2018,22036
4/4/2018,22562
4/5/2018,23455
4/6/2018,22928
4/7/2018,0
4/8/2018,0
4/9/2018,28779
4/10/2018,23400
4/11/2018,27452
4/12/2018,23251
4/13/2018,21799
4/14/2018,0
4/15/2018,0
4/16/2018,27806
4/17/2018,28017
4/18/2018,38262
4/19/2018,36514
4/20/2018,25176
4/21/2018,0
4/22/2018,0
4/23/2018,25862
4/24/2018,28108
4/25/2018,27568
4/26/2018,41172
4/27/2018,26422
4/28/2018,0
4/29/2018,0
4/30/2018,27620
5/1/2018,26451
5/2/2018,26733
5/3/2018,27064
5/4/2018,24458
5/5/2018,0
5/6/2018,0
5/7/2018,25159
5/8/2018,26972
5/9/2018,26543
5/10/2018,27923
5/11/2018,30683
5/12/2018,0
5/13/2018,0
5/14/2018,26248
5/15/2018,27672
5/16/2018,26980
5/17/2018,26229
5/18/2018,23903
5/19/2018,0
5/20/2018,0
5/21/2018,25664
5/22/2018,23343
5/23/2018,26274
5/24/2018,25584
5/25/2018,22121
5/26/2018,0
5/27/2018,0
5/28/2018,10475
5/29/2018,24763
5/30/2018,26123
5/31/2018,24358
6/1/2018,22348
6/2/2018,0
6/3/2018,0
6/4/2018,23133
6/5/2018,29341
6/6/2018,24464
6/7/2018,24148
6/8/2018,20288
6/9/2018,0
6/10/2018,0
6/11/2018,22525
6/12/2018,21904
6/13/2018,22416
6/14/2018,21683
6/15/2018,19857
6/16/2018,0
6/17/2018,0
6/18/2018,21331
6/19/2018,22125
6/20/2018,21491
6/21/2018,20869
6/22/2018,18948
6/23/2018,0
6/24/2018,0
6/25/2018,20498
6/26/2018,22139
6/27/2018,21891
6/28/2018,22498
6/29/2018,21458
6/30/2018,0
7/1/2018,0
7/2/2018,21448
7/3/2018,20876
7/4/2018,9317
7/5/2018,20709
7/6/2018,19043
7/7/2018,0
7/8/2018,0
7/9/2018,22156
7/10/2018,22350
7/11/2018,24125
7/12/2018,25395
7/13/2018,20152
7/14/2018,0
7/15/2018,0
7/16/2018,26695
7/17/2018,23731
7/18/2018,24048
7/19/2018,23143
7/20/2018,19986
7/21/2018,0
7/22/2018,0
7/23/2018,22520
7/24/2018,22893
7/25/2018,24204
7/26/2018,23519
7/27/2018,20253
7/28/2018,0
7/29/2018,0
7/30/2018,23143
7/31/2018,24005
8/1/2018,24705
8/2/2018,23486
8/3/2018,20828
8/4/2018,0
8/5/2018,0
8/6/2018,24014
8/7/2018,24045
8/8/2018,25619
8/9/2018,24356
8/10/2018,21767
8/11/2018,0
8/12/2018,0
8/13/2018,22585
8/14/2018,24377
8/15/2018,24949
8/16/2018,25996
8/17/2018,24962
8/18/2018,0
8/19/2018,0
8/20/2018,26982
8/21/2018,26920
8/22/2018,28162
8/23/2018,28315
8/24/2018,24340
8/25/2018,0
8/26/2018,0
8/27/2018,27750
8/28/2018,27901
8/29/2018,28843
8/30/2018,27222
8/31/2018,23962
9/1/2018,0
9/2/2018,0
9/3/2018,10568
